Topic,Count,Name,Representation,Representative_Docs
-1,28,-1_taste_like_bad_art,"['taste', 'like', 'bad', 'art', 'say', 'good', 'content', 'enjoys', 'preferences', 'person']","[""When I say that someone has bad taste, I generally mean that I view negatively the art/music/literature that that person enjoys.  That is, I don't think it conveys any meaning, I don't think that the person who created it has any talent, and I don't see the value in it.  I have to admit that it often means that this is very subjective, in that it often means that I myself don't like the art/music/literature at all myself."", ""If someone has bad taste, they choose art that doesn't fit with the surroundings or clothes that don't make them look good. It is all a matter of personal preference, so when I say someone has bad taste, that is in relation to my own preferences. Another person may think they have good taste."", '""Bad taste"" would mean the opposite of ""good taste."" Say that I prefer a certain style of movie, possibly something like arthouse or experimental, and another person only likes faster-paced, mainstream theatrical releases. We would probably refer to each other\'s preferences as ""bad taste,"" even though neither style necessarily has any more or less merit.']"
0,67,0_bad_taste_things_think,"['bad', 'taste', 'things', 'think', 'people', 'person', 'means', 'good', 'say', 'usually']","['If majority of people think what they think is good is bad then it usually means they have bad taste compared to everyone.', ""Bad taste to me usually means someone prefers things that seem ugly or just not good to me.  People with bad taste usually don't like things that are considered to be in good taste by most people."", 'When I say that someone has bad taste, it means that in my opinion, the things that person likes is very different from the things I like, so, therefore, they have bad taste.']"
1,47,1_like_things_just_choices,"['like', 'things', 'just', 'choices', 'care', 'maybe', 'unappealing', 'gaudy', 'make', 'people']","[""some just like anything  really don't care"", 'They like things that are outside the bounds of acceptability or like things that are just plain dumb.', 'They like something I don’t like.']"
2,18,2_person_loud_sense_drama,"['person', 'loud', 'sense', 'drama', 'qualities', 'boo', 'bold', 'character', 'colors', 'shows']","['I think of someone who is loud common uncouth tacky or crass. I think of tacky attire and loud colors not bold but loud colors.', ""Someone who may have their own ideas about the aesthetic qualities of objects which generally go against beliefs held by most people in society. Someone who has a sense of humor that is sophomoric and doesn't realize that others may take offense. A person who can't distinguish the qualities that make items desirable to the majority."", 'Someone who watches conspiracy theory shows and drama based reality TV about people’s personal lives. Ancient Aliens and similar shows acively try to mislead people. Shows like Honey Boo Boo and similar just encourage drama amongst the people involved.']"
3,15,3_colors_look_person_bad,"['colors', 'look', 'person', 'bad', 'taste', 'ugly', 'clothing', 'color', 'style', 'car']","['A person who has a bad taste is a person who likes ugly and cheap stuff. He/she likes to collect junk or dress ugly. For example, he wears jean and t-shirt to a wedding. Another example, she collects junk jewelry like fake ugly bracelet.', 'When you look at someone with bad taste, there is an unsettled feeling.  In clothing, the styles are not similar, or the colors are not easy on your eyes.  The colors or patterns may be jarring to look at.  At home, decor is not calming or happy feeling.', 'Specific examples come to mind right away, of bad taste. In clothing, for example, a blouse, that combines plaid and stripes, anything with a leopard or snake print, or any clothing that lacks modesty for the wearer. A person with bad taste, in my opinion, lacks the ability to create sometihng of beauty.']"
4,14,4_music_movies_enjoy_shows,"['music', 'movies', 'enjoy', 'shows', 'watch', 'bad', 'taste', 'media', 'say', 'denominator']","[""Someone has a bad taste in something when they enjoy something I do not; for example I would say someone might have a 'bad taste' in movies if they watch a lot of rom-coms. Someone else could also say that they have a good taste in movies; it is very subjective."", 'When someone has ""bad taste"" I tend to think they enjoy media, books, and food made for the lowest common denominator. They are easily entertained by things like reality television, Michael Bay films with tons of explosions, and their favorite music is whatever the latest generic popular rap/pop artist has on the radio.', 'I mean that someone is a mindless consumer. They watch the shows that everyone else watches, just to fit in. They listen to whatever pablum comes on the radio. They enjoy the lowest common denominator. I have described a band before as ""music for people who don\'t like music"". People who like those insipid bands have bad tatse']"
5,11,5_means_usually_quality_like,"['means', 'usually', 'quality', 'like', 'acceptable', 'racist', 'horrible', 'looks', 'tacky', 'person']","['It means that I do not like said thing or that I can not see why a person would like it. I would also say something is in bad taste due to its content like if it was racist, sexist, homophobic, etc.', 'Usually it is about gaining noteriety at the expense of quality. It is a the immature desire tp shock others in negative ways and usually means poor quality.', 'It means they do not have a clue about what looks good, what is quality, what is in style, is desirable. Usually they like gaudy and tacky things that may be expensive but horrible looking.']"
6,9,6_art_immoral_opinions_value,"['art', 'immoral', 'opinions', 'value', 'behaving', 'abovethe', 'aimed', 'actually', 'leave', 'selfish']","['Any art promote instant gratifications, selfish, negative and destructive thinking or behaving.', 'Essentially the opposite of the above--the person is interested in kitsch or fads, or artistic expression that is degrading, immoral, or of dubious value.', 'A person with bad taste lacks either the ability or the willingness to think critically about art, and takes everything at face value, or worse, mimics the opinions of others without understanding why other people hold those opinions.']"
7,8,7_poor_violence_manner_humor,"['poor', 'violence', 'manner', 'humor', 'action', 'disrespectful', 'amused', 'death', 'comedy', 'includes']","[""Generally they are rude, vulgar and like things that are insulting to others.  If they wear a shirt that says 'I'm with stupid' or has foul language I would say they have bad taste."", 'The person would choose comedy, for example, that includes vulgarity, racism, or violence. It is a lack of consideration for those around them who might find these things objectionable.', 'Questionable behavior, handles situations in a poor manner, either by action or words. Gives people a bad vibe in their manner.']"
8,7,8_aesthetics_decision_think_aesthetic,"['aesthetics', 'decision', 'think', 'aesthetic', 'choices', 'admiration', 'able', 'pieces', 'album', 'accept']","[""They don't really have an appreciation for the aspects of a creative medium that make it unique. For example, not being able to accept a LoFi album as good because the production isn't crystal clear: that's the point."", ""I think that the person doesn't think very hard about their decision in regards to aesthetic choices. I also think that they may not think about how individual pieces of their choices fit together to form a big picture, as well as never evolving their taste."", 'A person has no sense for design or aesthetics at all and is entirely unconcerned with creating anything that would appeal to others in any way, or else makes a conscious decision to arrive at a choice cheaply or without much soul or effort.']"
