Topic,Count,Name,Representation,Representative_Docs
-1,82,-1_dont_poor_doesnt_does,"['dont', 'poor', 'doesnt', 'does', 'choices', 'likes', 'way', 'music', 'care', 'clothing']","[""If someone had bad taste they might say things to people that are not appropriate. They may participate in activities that are morally wrong such as drunken or lewd behavior. They might garish things. They might participate in activities that the general public would think were immoral. The one thing that I think this person has is poor taste in the movie genres he watches. He likes to watch Lifetime movies which usually involve men who aren't treating women well and he likes horror movies. He isn't some deviant person and is really nice actually, but I feel he has poor taste in movies. This is really a hard question to answer. The only other thing I can think of is his taste in food. He puts hot sauce on everything he eats and he also like eating moose heart and liver, which is gross."", ""Bad taste can be different to everyone, for me it would be something I dislike. An example: if I dislike a piece of art and someone else likes it, I would say this person has bad taste in art.  We don't share the same kinds of music, if anything I think he has a horrible taste in music. I feel like music needs to have meaning or have a message. Most of the music he listens to doesn't have any, which makes it hard to identify with. To me he has a poor taste in music, to him maybe not."", ""Bad taste would be defined by a lack of manners or behavior not quite up to a certain innate standard that seems to be inborn with me. Being crude, crass or vulgar, for example, would be in low taste to me. I was born and raised in the southern United States , where historically there are behaviors that divide bad and good taste, regardless of any racial group or financial status. Some things just aren't done, or they would be considered tacky. It's weird because I don't remember ever being specifically told what was good and what was not, it was just understood, if that makes any sense.  It's hard to explain this and not feel like a snob. Well, I would have to say yes I know someone who I consider to have bad taste. There is a difference though between someone who doesn't know any better versus someone that knows how to act but ignores that fact. Again, to me taste and style are two different animals. Style can change and evolves, I think but taste is more of a character quality.  And I am a huge snob probably lol, although I would never tell anyone or show in any way that I thought someone acted in bad taste or had bad style either way. That would be in bad taste, in my opinion.""]"
0,24,0_movies_shows_enjoy_music,"['movies', 'shows', 'enjoy', 'music', 'watch', 'say', 'tv', 'reality', 'watches', 'watching']","[""Someone with bad taste would suggest or display something that not a lot of people find appealing. With the movie example it could be someone who chooses movies that most people wouldn't enjoy.  I would say my wife again but with her choice of movies. I would say 9/10 movies she picks when we watch are bad and that most people would not enjoy."", 'When someone has a bad taste they are probably focused on a single genre and completely ignore everything else. Usually they would watch poorly scripted shows or movies, reality tv, etc.  That would be my mother. She likes the news, Hallmark movies, and dumb reality shows. Most often she avoids watching other work.', 'The person enjoys something that I think is bad. Like they enjoy a certain movies and they recommend those movies to me. The movies are usually horrible. I would say that person has bad taste.  Similar scenario. I know someone that enjoy suggesting shows to me, but half the time the shows are bad. I often say this person has bad taste in shows.']"
1,24,1_poor_mean_unpleasant_usually,"['poor', 'mean', 'unpleasant', 'usually', 'men', 'example', 'acceptable', 'actions', 'dont', 'value']","[""Bad taste is what we think of as too attention-getting -- for example, loud, garish colors, or following shallow, popular fads, or acting in foolish, unconsidered ways, not having properly thought through how your actions will affect those around you, such as in rash actions or vulgar displays of emotion. Well, that's easy, because there is another neighbor in this complex who knows little restraint and has lashed out with intemperate language,posting an abusive letter without her signature, blaming others for problems before finding out what the facts were. People like this do not take the time to take into consideration various factors -- but feel that everything is always only about them."", ""If someone has bad taste it means that the person fairly consistently chooses things or people which are perceived by most in a negative or less desirable, popular. or aesthetically pleasing.  It may also refer to the persons  verbal behavior and other actions where the person is prone to make crude, inappropriate remarks or otherwise act inappropriately or in a way to deviate from politeness norms. Probably me.  I dress slovenly usually in jeans and dirty t shirt.  When I dress frequenty the clothes don't march .  I often associate with women who are bad for me and I'm kind of well known for at times making crude inappropriate remarks."", 'Bad taste could mean just copying the latest trend without thinking.  Bad taste means cheaply made items that are not a good combination or purchased without thought.  This could also mean items that are harmful to the environment etc...like a bear skin rug :(  This person has lots of money and changes their look and style frequently.  Their hairstyle changes all the time, their rugs are always different when I visit and it just seems as though they are chasing a “look@ but never actually “ nailing” it. Lots of money spent.  This person has spinning rims on their car in high school...one of them didn’t spin and they were the butt of many jokes.']"
2,18,2_negative_friend_clash_choices,"['negative', 'friend', 'clash', 'choices', 'usually', 'interests', 'unappealing', 'know', 'maybe', 'dont']","['When they are vague about what they like, and their interests. They barely explain it usually. My other friend Naadir doesn\'t care enough to explain what his taste and usually answers in ""I don\'t know"" or ""maybe"" etc.', ""They like things that are maybe a bit gauche. Maybe too mainstream or too conservative. My friend Ben. He is a bit dirty and he just has random shit strewn haphazardly. Doesn't make any choices."", 'Usually it is about gaining noteriety at the expense of quality. It is a the immature desire tp shock others in negative ways and usually means poor quality. I think we see them on social media all the time--and in political elections. They operate on ""What can I do or say to get \'hits\' or \'likes\'?"" The interactions are meant to shock. They produce nothing or no interactions of value.']"
3,16,3_clothes_dress_colors_match,"['clothes', 'dress', 'colors', 'match', 'decor', 'dont', 'high', 'way', 'likes', 'baggy']","[""They like things that I consider to be tacky or unattractive. As I've grown older I've become less judgemental, so it's difficult for me to think of a specific person, but I would think that they would dress and decorate in a way that emphasizes loud, clashing colors and patterns or in a way that's haphazard and shows no clear plan or vision."", ""A person has a bad taste in style.  If the clothes are baggy or not stylish when the person wears it in tacky way. This person dresses in baggy clothes and has a poor taste wear the clothes are not fitted and the fashion is outdated and the clothes don't match well with the shoes and colors."", 'They tend to like cruder things, vulgarity, like unnecessary violence and pornography. The sort of person that thinks of a beer logo as high art. I friend from high school. He decorated his basement with beer signs, neon signs, a bar and large video games. In high school he spent a lot on his car, adding a lot of unnecessary decorations. He likes crude things. He now lives in a trailer.']"
4,14,4_sense_likes_creativity_dismissive,"['sense', 'likes', 'creativity', 'dismissive', 'qualities', 'character', 'american', 'quality', 'doesnt', 'tight']","['A person who does not respect others and uses horrible language around others to make their selves look big! Someone who has a bad moral character  I know a person who thinks he is the best HeLies and would cheat anyone out of a nickel He treats women like they were trash and hates animals', ""Narrow minded and narrowly focused.  Dismissive of anything outside of their likes and interests and not open to expanding their focus. He's dismissive of of musical genres such as jazz, classical, hip hop - no interest in anything that might require some effort."", 'Someone who may have their own ideas about the aesthetic qualities of objects which generally go against beliefs held by most people in society. Someone who has a sense of humor that is sophomoric and doesn\'t realize that others may take offense. A person who can\'t distinguish the qualities that make items desirable to the majority. I had an employee several years ago that considered herself an artist, she was always whining about how difficult it was to create something that others didn\'t seem to appreciate - she was always looking for her ""audience"". The problem was that her esoteric leanings may have made a great deal of sense to her but the rest of the world saw them as poorly envisioned crap.']"
5,12,5_trump_donald_garish_behavior,"['trump', 'donald', 'garish', 'behavior', 'disgusting', 'vulgar', 'function', 'selfish', 'president', 'gaudy']","[""In my opinion, the term 'bad taste' isn't as relative. It means that a particular work of art is considered to be of poor quality by an overwhelming number of observers.      By contrast, I think that former President Trump has very bad taste. I suspect this based on how consistently lies and how he doesn't seem to respect anyone - including himself.  I imagine that such a man would choose things are many would consider to be vulgar and disgusting."", 'Bad taste, would be people who like what I don\'t.  Such as the Trump\'s garish gold apartment.  Of course this is tasteless. and bad taste is still taste.  This person is Trump.  He likes to eat Burger World.  He likes garish. He wears an ugly tie...the same one, like everyday. What a fucking idiot.  He prefers ""entertainment news\' to the real news.  0 taste.', 'Questionable behavior, handles situations in a poor manner, either by action or words. Gives people a bad vibe in their manner. President Donald Trump personified bad Taste. His behavior, his words and actions at times cause one to cringe. A lack of compassion leads him to terrible statements. A disregard to anyone who did not agree with him and his reaction is normally a crass remark.']"
6,11,6_color_sense_look_clothes,"['color', 'sense', 'look', 'clothes', 'options', 'bland', 'tries', 'doesnt', 'space', 'choosing']","[""Doesn't understand the concept of colors and chooses bland color schemes, furniture that isn't made well. Likes run of the mill looking art that you can find any dentist office. This person is good with tools, but unfortunately not good with designing her living space.  Has toolboxes everywhere and keeps the windows shuttered so that it's dark inside.  Cluttered space with bland furniture.  A wooden spool for a table..."", ""Someone who has bad taste doesn't really care or even notice how an object is made.  It could be junky and poorly finished.  This is like an old dented car that was painted by a kid with a spray can of some garish color paint.   My coworker Lynne has poor taste.  Her clothes are always a mess and look like they were picked up from the floor of her closet that morning.  On her desk she displays some junky ceramic pieces that maybe a kindergartner made.  It's all just a mess."", ""If someone has bad taste, they choose art that doesn't fit with the surroundings or clothes that don't make them look good. It is all a matter of personal preference, so when I say someone has bad taste, that is in relation to my own preferences. Another person may think they have good taste.  I have a friend who is heavy. She chooses clothes to try and hide her weight that make her look bad. Instead of choosing to emphasize her positive attributes, she tries to distract from her body with clothes that have odd patterns and color combinations.""]"
7,8,7_ugly_looks_wore_cheap,"['ugly', 'looks', 'wore', 'cheap', 'superficial', 'fashion', 'government', 'jewelry', 'dress', 'outfits']","['I think someone with bad taste is a person who might be superficial, or like something for superficial reasons. It’s hard to describe, but I feel like you would know bad taste when you see it. A person I knew with poor taste was pretty wealthy, but dressed badly. Although the clothing he wore was very fine and expensive, I found that he had very poor personal style because his attitude towards fashion was very much that if something was pricey, it was automatically “more stylish” than something cheap or affordable. I think what made his aesthetic bad was that he put very little thought into what he wore, other than it being luxury.', 'A person who has a bad taste is a person who likes ugly and cheap stuff. He/she likes to collect junk or dress ugly. For example, he wears jean and t-shirt to a wedding. Another example, she collects junk jewelry like fake ugly bracelet. I think Lady Gaga has a bad taste in how she dress up in front of public. Even though she is a good singer and very famous but the way she dress looks weird.', 'When I say bad taste, it means that the person does not pay attention to the finer details of things and just decide to follow everyone without knowing why they picked it. For example, in fashion, people would pick the worst outfits that despite having unique patterns, they did it in a way that it looks cheap and does not elevate their look. I think in a lot of ways, Lil Wayne is a person with bad taste. His fashion choice is a disaster, as he tries to show off his jewelry full of diamonds without having any meaning besides trying to show off. The outfits he wore always scream cheap and bad fit. I think due to his personality, most of the things he did are in bad taste.']"
8,8,8_art_music_rock_dont,"['art', 'music', 'rock', 'dont', 'opinions', 'simply', 'point', 'psych', 'artmusicliterature', 'lyrics']","[""A person with bad taste lacks either the ability or the willingness to think critically about art, and takes everything at face value, or worse, mimics the opinions of others without understanding why other people hold those opinions. My old coworker bob has bad taste. He sometimes does enjoy good pieces of art, but often it is simply ecause a blogger somewhere said something good about the work, or he will dismiss great works simply because someone he follows doesn't like one part of it."", 'When I say that someone has bad taste, I generally mean that I view negatively the art/music/literature that that person enjoys.  That is, I don\'t think it conveys any meaning, I don\'t think that the person who created it has any talent, and I don\'t see the value in it.  I have to admit that it often means that this is very subjective, in that it often means that I myself don\'t like the art/music/literature at all myself. I have a family member who has very poor taste, in my opinion.  I listen to the music he plays for me, but I don\'t ""get"" them; the songs seem poorly executed and don\'t have anything to say.  He loves to decorate his apartment with pieces that look garish and outlandish to me, but he thinks that they are beautiful and coordinate well with each other.  The art on his walls doesn\'t appeal to me either.', 'They don\'t really have an appreciation for the aspects of a creative medium that make it unique. For example, not being able to accept a LoFi album as good because the production isn\'t crystal clear: that\'s the point. This girl I went on a date with once turned her nose up when I said I liked King Gizzard and the Lizard Wizard because she felt like none of their lyrics made sense. To me it seemed she just didn\'t really understand the point of psychedelic rock, and how most of it is supposed to be metaphorical or nonsensical. When you\'re talking about psych rock, you should judge it based on what makes it psych rock in my opinion. If the lyrics in this genre are intentionally ""weird"" calling it bad because of that doesn\'t really make sense in my mind.']"
