Topic,Count,Name,Representation,Representative_Docs
-1,60,-1_taste_bad_person_poor,"['taste', 'bad', 'person', 'poor', 'think', 'things', 'time', 'wears', 'really', 'care']","['I think in a lot of ways, Lil Wayne is a person with bad taste. His fashion choice is a disaster, as he tries to show off his jewelry full of diamonds without having any meaning besides trying to show off. The outfits he wore always scream cheap and bad fit. I think due to his personality, most of the things he did are in bad taste.', ""Yes. I think this person has a poor taste because she doesn't care a lot about it. She does not put a lot of effort into trying to make something look good. Some people just buy things that are cheap and that sometimes compromisse the overall taste."", ""The one thing that I think this person has is poor taste in the movie genres he watches. He likes to watch Lifetime movies which usually involve men who aren't treating women well and he likes horror movies. He isn't some deviant person and is really nice actually, but I feel he has poor taste in movies. This is really a hard question to answer. The only other thing I can think of is his taste in food. He puts hot sauce on everything he eats and he also like eating moose heart and liver, which is gross.""]"
0,53,0_clothes_things_dress_way,"['clothes', 'things', 'dress', 'way', 'think', 'clothing', 'like', 'poor', 'just', 'taste']","['I\'m going to pick one of my past co-workers who used to come to work with mismatched clothing & suits. His clothing looked cheaply made & just not nice to look at & he made good money & wasn\'t poor. His desk was always messy & when we went out to lunch his choices in foods were unappealing & kinda ""gross""! I just don\'t think he had good taste in many things.', ""This person dresses in baggy clothes and has a poor taste wear the clothes are not fitted and the fashion is outdated and the clothes don't match well with the shoes and colors."", ""I have a sister in law who just doesn't have good taste at all. The way she dresses had not a bit of style to it. She mainly just puts her clothes on and goes and they don't flatter her at all. She doesn't try to decorate her home up and put nice touches to it.""]"
1,22,1_person_like_value_art,"['person', 'like', 'value', 'art', 'base', 'behaviour', 'considered', 'depth', 'acts', 'andy']","[""The person I'm thinking of seems to revel in low culture and epitomizes someone that loves low bro tv, music, and art. It's obvious from their tastes that they like things that appeal to the more primitive and base instincts."", ""I generally don't pay attention to artists whose works I consider in bad taste, but I suppose someone like Miley Cyrus comes to mind.  Her works scream for attention and she dresses and acts like a slut for shock value."", 'Someone like a sports figure.  They have the mind of a child and act impulsively as well as exhibit a lack of reason.  Consequently they are often seen doing lousy behaviour like drinking, drugging, and fighting in public.  Not to mention they often have gaudy possessions to try to show off how rich they are but look annoying and of course of poor taste.']"
2,18,2_bad_taste_shows_know,"['bad', 'taste', 'shows', 'know', 'enjoy', 'jokes', 'watching', 'watches', 'action', 'different']","[""I don't specifically know of anyone who has bad taste. Everyone I know of is guilty of watching shows that are trivial for the fun of it. I guess I do have a friend who seems to enjoy shows that most others consider horrible."", ""Well, I would have to say yes I know someone who I consider to have bad taste. There is a difference though between someone who doesn't know any better versus someone that knows how to act but ignores that fact. Again, to me taste and style are two different animals. Style can change and evolves, I think but taste is more of a character quality.  And I am a huge snob probably lol, although I would never tell anyone or show in any way that I thought someone acted in bad taste or had bad style either way. That would be in bad taste, in my opinion."", 'A person with bad taste is someone who enjoys offensive and objectively terrible content. Again, this is subjective. However, If you think watching loads of graphic violence, gross, despicable and ridiculous sexual content, is something enjoyable, you have a bad taste. There is nothing wrong with seeing a terrible act (granted only once), but if you enjoy watching and love seeing it, it is bad taste. Like going on the Dark Web to get your fix (if you know what I mean), it is something that is simply bad taste.']"
3,16,3_trump_donald_vulgar_bad,"['trump', 'donald', 'vulgar', 'bad', 'world', 'actions', 'president', 'taste', 'behavior', 'disgusting']","['Donald Trump has incredibly bad taste. Hi apartment is hideous. His views and opinions, and approach to life in general, should be the poster child for bad taste.', 'Donald Trump because of his boorish behavior.', 'President Donald Trump personified bad Taste. His behavior, his words and actions at times cause one to cringe. A lack of compassion leads him to terrible statements. A disregard to anyone who did not agree with him and his reaction is normally a crass remark.']"
4,13,4_music_pop_jazz_lyrics,"['music', 'pop', 'jazz', 'lyrics', 'songs', 'rock', 'listen', 'taste', 'listens', 'poor']","['This girl I went on a date with once turned her nose up when I said I liked King Gizzard and the Lizard Wizard because she felt like none of their lyrics made sense. To me it seemed she just didn\'t really understand the point of psychedelic rock, and how most of it is supposed to be metaphorical or nonsensical. When you\'re talking about psych rock, you should judge it based on what makes it psych rock in my opinion. If the lyrics in this genre are intentionally ""weird"" calling it bad because of that doesn\'t really make sense in my mind.', ""We don't share the same kinds of music, if anything I think he has a horrible taste in music. I feel like music needs to have meaning or have a message. Most of the music he listens to doesn't have any, which makes it hard to identify with. To me he has a poor taste in music, to him maybe not."", ""A friend of a friend only listens to top 40 music, which isn't necessarily bad taste on its own, but they don't seem to attempt to listen to any music that isn't already insanely popular. They don't listen to any music that isn't pop or from any other cultures besides the US. I think if they listened to Brazilian pop, German pop, Nigerian pop, etc. in addition to American pop that would be more well rounded and better taste, but insisting on limiting your world view to one type of music is bad taste to me.""]"
5,12,5_taste_want_think_bad,"['taste', 'want', 'think', 'bad', 'example', 'poor', 'know', 'government', 'reflect', 'opposite']","['This person has bad taste because they attempt to force things to come together they way they want them to rather than the way the things need to in order to function correctly and they also have no regard for how form plays into that.', 'I think of many people who have bad taste. Especially, Raul Castro in Cuba. He has bad taste because he has hung onto a political and economic system of government that has failed completely. there is no quality or beauty in a communist government.', ""I think someone who want to be out of left field or radical or even fight against norms to make a statement want to have bad taste on purpose. Sometimes a person has bad taste because they don't know any better because no one told them. Or they just can miserable and have poor taste to reflect how they are.""]"
6,9,6_just_wears_bella_ben,"['just', 'wears', 'bella', 'ben', '90', 'animal', 'fianc', 'giant', 'irresponsible', 'hats']","['My friend Tim. He wears the same outdated clothes that are two sizes too small, and giant hats.', ""My friend Ben. He is a bit dirty and he just has random shit strewn haphazardly. Doesn't make any choices."", 'The Kardashians or Logan Paul. Anyone who does or says sensational or provocative things just to stay in the public eye.']"
7,8,7_mother_taste_good_things,"['mother', 'taste', 'good', 'things', 'clothes', 'poor', 'bad', 'food', 'owns', 'loud']","[""I think that my partner has poor taste because he doesn't expose himself enough to the real world. He is careless about the things he owns and waste money. He owns plain old shirts and pants, and doesn't change his style."", 'My brother has a bad taste, he cannot think which food is good and not good with less taste, also he cannot get the good clothes for him as he has a bad taste of clothes.', 'my mother has bad taste,  so for me bad taste that my mother has shows in the way she speaks and her word choices. she has terrible taste when she dresses. nothing ever matches and she often needs to run a comb thru her hair. she also is very lowbrow when we have conversations']"
8,7,8_movies_mother_comes_say,"['movies', 'mother', 'comes', 'say', 'decorating', 'tacky', 'watch', 'likes', 'documentaries', 'clue']","['I would say my wife again but with her choice of movies. I would say 9/10 movies she picks when we watch are bad and that most people would not enjoy.', 'My mother. Her decoration style is tacky and unappealing to me. She also likes older music and movies that aren’t what I would consider to be good or enjoyably.', 'I would have to say myself when it comes to movies.  I always seems to pick the worst movies.  I am not a picky person when it comes to movies.  I see something that interests me and rent it having no real clue if it will be good or not.']"
